C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,Label,gbdt_leaf_0,gbdt_leaf_1,gbdt_leaf_2,gbdt_leaf_3,gbdt_leaf_4,gbdt_leaf_5,gbdt_leaf_6,gbdt_leaf_7,gbdt_leaf_8,gbdt_leaf_9
05db9164,d833535f,77f2f2e5,d16679b9,4cf72387,7e0ccccf,def4a4d4,5b392875,a73ee510,0c70a731,4ba74619,9f32b866,879fa878,b28479f6,a66dcf27,31ca40b6,d4bb7bd8,7b49e3d2,-1,-1,dfcfc3fa,-1,423fab69,aee52b6f,-1,-1,0.020833333333333332,0.0003813882532418001,0.0005911563017261764,0.20454545454545453,0.00010736631416368536,0.004957965078680749,0.0012055455093429777,0.04562043795620438,0.004079460801702731,0.4,0.05263157894736842,0.0,0.029831387808041503,0,19,24,35,26,26,12,22,34,25,30
8cf07265,b7ca2abd,53266d8f,d6b6e0bf,25c83c98,fe6b92e5,d2d741ca,0b153874,a73ee510,18139a78,ea4adb47,ee4cd37c,05781932,1adce6ef,a5007c7b,6de617d3,07c540c4,4771e483,-1,-1,df66957b,-1,3a171ecb,b34f3128,-1,-1,0.0,0.0002542588354945334,0.0,0.0,0.006434098753368741,0.005173528777753826,0.0018083182640144665,0.005474452554744526,0.000532103582830791,0.0,0.05263157894736842,0.0,0.0,0,33,33,25,7,44,18,29,0,41,22
24eda356,38a947a1,d2e629b9,ca816d31,25c83c98,fbad5c96,183ceacc,5b392875,a73ee510,bc91cec3,7495273d,7f613a89,e97e78ef,07d13a8f,760e4845,02af86f2,e5ba7672,1c437c51,-1,-1,7812b499,-1,32c7478e,0cae79aa,-1,-1,0.0,0.0003813882532418001,0.0005911563017261764,0.022727272727272728,0.004797993727443224,0.0043112739814615214,0.008438818565400843,0.014598540145985401,0.013479957431713372,0.0,0.18421052631578946,0.0,0.0025940337224383916,1,23,16,12,11,18,12,17,22,17,13
05db9164,0c0567c2,b3347cc3,fa30ea43,25c83c98,fe6b92e5,970f01b2,64523cfa,7cc72ec2,3b08e48b,36bccca0,3a15eb99,80467802,07d13a8f,2d5d7e11,4f264080,2005abd1,98c4d3e0,-1,-1,91e1efa5,-1,55dd3565,7fb4ff91,-1,-1,0.0,0.0001271294177472667,0.0,0.0,0.0,0.0,0.0006027727546714888,0.0036496350364963502,0.000354735721887194,0.0,0.02631578947368421,0.0,0.0,0,0,0,0,0,0,0,33,0,0,0
05db9164,38a947a1,9b8718c2,adf9de80,25c83c98,7e0ccccf,e982003c,0b153874,a73ee510,3b08e48b,64bbd6b2,e316d2d0,eb11180c,b28479f6,2530f036,48e224f3,07c540c4,3e608631,-1,-1,a9fb024b,8ec974f4,32c7478e,6e9a987f,-1,-1,0.020833333333333332,0.0001271294177472667,0.00023646252069047056,0.045454545454545456,0.00044128540133331226,0.0008622547962923044,0.0024110910186859553,0.012773722627737226,0.001241575026605179,0.4,0.07894736842105263,0.0,0.005188067444876783,0,18,24,8,28,26,20,34,29,12,18
87552397,38a947a1,382be412,0ad2ad70,25c83c98,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,450f33a6,80467802,b28479f6,ad31dfdb,2a7f62df,2005abd1,082ff924,-1,-1,b691bac2,-1,bcdee96c,88ed380d,-1,-1,0.0,0.023010424612255276,0.0,0.0,0.0,0.0,0.0,0.0018248175182481751,0.0,0.0,0.0,0.0,0.0,0,18,0,0,27,0,34,44,37,0,31
05db9164,68b3edbf,b00d1501,d16679b9,25c83c98,7e0ccccf,4ef59df2,1f89b562,a73ee510,4ec65f86,f8bed1fb,e0d76380,18a5133f,b28479f6,f511c49f,1203a270,07c540c4,752d8b8a,-1,-1,73d06dde,-1,bcdee96c,aee52b6f,-1,-1,0.010416666666666666,0.0005085176709890668,0.0,0.09090909090909091,0.00570420481946699,0.022634188402672988,0.0024110910186859553,0.018248175182481754,0.018446257538134087,0.2,0.05263157894736842,0.0,0.05058365758754864,1,34,34,33,24,42,30,41,40,29,25
68fd1e64,2a69d406,6af9742e,13508380,384874ce,fbad5c96,d5f62b87,1f89b562,a73ee510,0d554e70,434d6c13,8afa65d1,7301027a,07d13a8f,3b2d8705,2235af84,3486227d,642f2610,1d1eb838,a458ea53,5df9af5f,-1,423fab69,45ab94c8,2bf691b1,c84c4aec,0.010416666666666666,0.0001271294177472667,0.0,0.0,0.0031894690391010383,0.025220952791549903,0.011452682338758288,0.032846715328467155,0.06349769421780772,0.2,0.15789473684210525,0.0,0.0,1,6,9,40,2,6,41,39,20,9,16
05db9164,38a947a1,2260448d,2192038e,25c83c98,7e0ccccf,34cbc0af,0b153874,a73ee510,42459662,88196a93,f7cbe917,1211c647,b28479f6,ab07a5b8,0c6b4ad6,e5ba7672,d5d1ae1c,-1,-1,f6e3bd9c,-1,32c7478e,9e07eb4a,-1,-1,0.010416666666666666,0.0016526824307144673,0.0,0.045454545454545456,0.0027836440718034387,0.02802328087949989,0.007836045810729355,0.08211678832116788,0.03777935438098617,0.2,0.15789473684210525,0.010101010101010102,0.005188067444876783,0,8,41,40,23,10,28,14,12,39,26
05db9164,942f9a8d,4d7b862e,cf069647,25c83c98,7e0ccccf,3f4ec687,0b153874,a73ee510,7f79890b,c4adf918,3d7ff492,85dbe138,b28479f6,ac182643,7a76439d,8efede7f,1f868fdd,ea132b7c,a458ea53,d7be7b8d,-1,32c7478e,9b786035,9d93af03,72ecd2e2,0.07291666666666667,0.0020340706839562673,0.006502719318987941,0.23863636363636365,6.00857354494019e-05,0.004742401379607674,0.0867992766726944,0.072992700729927,0.1658389499822632,0.6000000000000001,0.8421052631578947,0.04040404040404041,0.028534370946822308,0,13,7,3,3,8,8,24,10,4,5
05db9164,ae46a29d,e40c8a42,f922efad,43b19349,13718bbd,43b59c37,062b5529,a73ee510,f71087b9,23cd7a8a,66a76a26,009f5dd8,1adce6ef,8ff4b403,01adbab4,3486227d,26b3c7a7,-1,-1,21c9516a,-1,423fab69,b34f3128,-1,-1,0.03125,0.0003813882532418001,0.00023646252069047056,0.1477272727272727,3.1520385809522306e-05,0.002802328087949989,0.024713682941531045,0.07481751824817517,0.022170982617949624,0.4,0.18421052631578946,0.020202020202020204,0.016861219195849545,0,2,2,16,4,2,19,2,5,12,17
5ebc3192,09e68b86,4655607d,9d31eb6b,384874ce,7e0ccccf,5e0c5a8e,0b153874,a73ee510,afef695d,d83caed6,6cc4fcb2,d5aaf8c3,1adce6ef,dbc5e126,28fa6301,e5ba7672,5aed7436,3a52a22f,a458ea53,059d6830,-1,423fab69,54761a25,ea9a246c,8e3c920c,0.0,0.06483600305110601,0.000827618822416647,0.07954545454545454,0.013954665805109453,0.008191420564776892,0.0012055455093429777,0.012773722627737226,0.011351543100390209,0.0,0.05263157894736842,0.0,0.009079118028534372,0,25,12,41,20,14,30,19,14,21,40
5bfa8ab5,f0cf0024,a1acf62a,651d542f,25c83c98,fbad5c96,5b07414c,062b5529,a73ee510,86cff510,54649d62,51d098b7,c679a49f,cfef1c29,131dff63,2e97807d,07c540c4,cc693e93,21ddcdc9,5840adea,9ce3d12f,c9d4222a,32c7478e,03ba7282,ea9a246c,983e320a,0.010416666666666666,0.0003813882532418001,0.0007093875620714117,0.09090909090909091,0.01895064695591874,0.07781849536538048,0.0024110910186859553,0.009124087591240875,0.039730400851365734,0.2,0.05263157894736842,0.0,0.016861219195849545,0,33,34,19,15,36,28,41,40,30,39
05db9164,80e26c9b,e346a5fd,85dd697c,25c83c98,fbad5c96,d03697f9,0b153874,a73ee510,8958d049,61593534,539c5644,9259d03d,b28479f6,a785131a,aafa191e,27c07bd6,005c6740,21ddcdc9,5840adea,7e5b7cc4,-1,3a171ecb,1793a828,e8b83407,b9809574,0.0,0.0011441647597254002,0.003901631591392764,0.2727272727272727,0.031171691541504468,0.009053675361069196,0.009644364074743821,0.02737226277372263,0.004434196523589925,0.0,0.02631578947368421,0.0,0.031128404669260697,0,5,35,38,5,44,49,41,38,26,42
05db9164,08d6d899,9143c832,f56b7dd5,25c83c98,7e0ccccf,6edd3a80,0b153874,a73ee510,ab9456b4,bfd9d6e5,ae1bb660,e1b62f8f,07d13a8f,41f10449,bad5ee18,07c540c4,698d1c68,-1,-1,0429f84b,c9d4222a,be7c41b4,c0d61a5c,-1,-1,0.0,0.027205695397915078,0.0020099314258689997,0.26136363636363635,0.015958180328127215,0.11015305022634188,0.0018083182640144665,0.049270072992700725,0.03706988293721178,0.0,0.05263157894736842,0.0,0.031128404669260697,0,42,46,45,43,40,28,32,35,49,47
3c9d8785,a05721f4,2c2915ad,a92a2097,4cf72387,fbad5c96,b3b280b5,5b392875,a73ee510,3b08e48b,3e38ef40,c23bca28,5e419718,b28479f6,03b0a8e3,ebc92e5f,07c540c4,4ac4fd60,-1,-1,9e805f53,ad3062eb,85d5a995,01eb9c81,-1,-1,0.0,0.0002542588354945334,0.00023646252069047056,0.0,0.011678302942428014,0.002586764388876913,0.0054249547920434,0.0036496350364963502,0.0024831500532103584,0.0,0.07894736842105263,0.0,0.0,0,33,33,12,22,44,19,39,31,17,13
05db9164,ae46a29d,9dad1f27,f922efad,25c83c98,fe6b92e5,3d384ecf,37e4aa92,a73ee510,dc790dda,93bc0a6a,9bf4fa6a,f3747bf1,1adce6ef,d9e19f11,01adbab4,e5ba7672,e32bf683,-1,-1,21c9516a,-1,32c7478e,b34f3128,-1,-1,0.010416666666666666,0.0003813882532418001,0.0,0.13636363636363635,0.004273967313359915,0.0297477904720845,0.014466546112115732,0.02372262773722628,0.09666548421426037,0.2,0.15789473684210525,0.0,0.02723735408560311,0,8,41,40,23,10,29,14,12,30,39
05db9164,4f25e98b,878a4d1d,ec142e08,25c83c98,7e0ccccf,103c17bc,0b153874,a73ee510,42635bfd,e6e0c2dc,64e71ff6,e9332a03,07d13a8f,5cedaf14,d14a4197,e5ba7672,c04ce6df,6f86de17,a458ea53,e3b993b8,-1,3a171ecb,9117a34a,001f3601,54ca28ff,0.010416666666666666,0.0013984235952199337,0.0055568692362260586,0.26136363636363635,0.0017612015571070588,0.05130416037939211,0.004219409282700422,0.05474452554744525,0.03032990422135509,0.2,0.07894736842105263,0.010101010101010102,0.06485084306095978,0,41,41,33,41,45,43,46,43,33,20
68fd1e64,38d50e09,d032c263,c18be181,25c83c98,fbad5c96,970f01b2,0b153874,7cc72ec2,3b08e48b,36bccca0,dfbb09fb,80467802,07d13a8f,ee569ce2,84898b2a,2005abd1,582152eb,21ddcdc9,5840adea,0014c32a,ad3062eb,55dd3565,3b183c5c,001f3601,0347f0d3,0.0,0.0019069412662090005,0.0,0.0,0.0,0.0,0.0006027727546714888,0.0036496350364963502,0.000354735721887194,0.0,0.02631578947368421,0.0,0.0,0,31,19,0,27,23,0,32,19,16,31
be589b51,0acbc0bb,e6eab848,a01d631a,25c83c98,7e0ccccf,894ba00a,0b153874,a73ee510,3b08e48b,62750746,9548807f,48b975db,07d13a8f,fbdfc6b5,9226afe8,07c540c4,140bbba0,-1,-1,d4f60ad4,-1,be7c41b4,c9beb5ca,-1,-1,0.010416666666666666,0.04144419018560895,0.000827618822416647,0.06818181818181819,0.006029258798127689,0.0,0.0006027727546714888,0.025547445255474453,0.001241575026605179,0.2,0.02631578947368421,0.0,0.019455252918287935,0,33,33,41,43,40,47,47,37,3,46
39af2607,58e67aaf,7ccc8a31,e26ca125,25c83c98,7e0ccccf,a870a74a,5b392875,a73ee510,e058d4a3,17586bd8,c7883ba5,4c9ff09f,1adce6ef,d002b6d9,542c1f96,07c540c4,c21c3e4c,21ddcdc9,b1252a9d,1bbb5c9c,-1,423fab69,3fdb382b,9b3e8820,49d68486,0.010416666666666666,0.0002542588354945334,0.00035469378103570584,0.0,0.010512048667475689,0.041388230222030614,0.0018083182640144665,0.0018248175182481751,0.034054629301170626,0.2,0.07894736842105263,0.0,0.0,1,33,34,25,45,42,5,40,31,41,22
05db9164,09e68b86,1833da64,9214a1c7,4cf72387,7e0ccccf,e4cff53d,0b153874,a73ee510,bad0adec,070f2ece,47a2a595,b558cfc7,1adce6ef,2223bcd1,8ead029f,e5ba7672,479030a6,7839a083,5840adea,dcf2ba9c,c9d4222a,32c7478e,41be4766,e8b83407,d8a062c4,0.0,0.0005085176709890668,0.0061480255379522345,0.1477272727272727,0.00649516950087469,0.022634188402672988,0.008438818565400843,0.020072992700729927,0.01649521106775452,0.0,0.13157894736842105,0.0,0.016861219195849545,0,41,41,32,47,45,48,11,43,39,42
05db9164,9e5ce894,cff1fe84,13508380,25c83c98,7e0ccccf,81f7f73c,0b153874,a73ee510,8aa1b7d2,6263d404,6ac5bc4b,aa1eb12e,07d13a8f,8cf98699,6206597d,e5ba7672,a5bb7b8a,55dd3565,b1252a9d,5a345791,-1,c7dc6720,45ab94c8,ea9a246c,c84c4aec,0.06249999999999999,0.006356470887363335,0.00023646252069047056,0.4090909090909091,0.0005634268963452113,0.01487389523604225,0.004219409282700422,0.025547445255474453,0.04930826534231997,0.4,0.07894736842105263,0.010101010101010102,0.05058365758754864,0,13,10,33,24,27,16,26,26,5,4
5a9ed9b0,09e68b86,aa8c1539,85dd697c,25c83c98,7e0ccccf,8048b460,5b392875,a73ee510,cb3c0ba3,ae4c531b,d8c29807,01c2bbc7,1adce6ef,dcd06253,c64d548f,3486227d,63cdbb21,cf99e5de,5840adea,5f957280,-1,32c7478e,1793a828,e8b83407,b7d9c3bc,0.07291666666666667,0.0001271294177472667,0.0004729250413809411,0.22727272727272727,2.955036169642716e-06,0.0015089458935115326,0.004219409282700422,0.0364963503649635,0.006917346576800283,1.0,0.13157894736842105,0.020202020202020204,0.009079118028534372,0,7,7,7,28,8,8,8,10,14,33
8cf07265,68b3edbf,77f2f2e5,d16679b9,4cf72387,7e0ccccf,a61aeaec,1f89b562,a73ee510,901ad2a4,17586bd8,9f32b866,4c9ff09f,07d13a8f,98674466,31ca40b6,e5ba7672,752d8b8a,-1,-1,dfcfc3fa,-1,423fab69,aee52b6f,-1,-1,0.0,0.0002542588354945334,0.00035469378103570584,0.022727272727272728,0.03820664764936722,0.0,0.0006027727546714888,0.025547445255474453,0.12930117062788224,0.0,0.02631578947368421,0.0,0.0025940337224383916,0,10,12,30,20,4,17,13,3,21,28
68fd1e64,38a947a1,bdec0e5d,3e899880,25c83c98,7e0ccccf,628489a8,062b5529,a73ee510,3155f559,8e8b2ae0,b2526fea,f98d9f6e,cfef1c29,18dc3782,5085ea22,1e88c74f,47ecd034,-1,-1,1718ad45,-1,423fab69,afe9396a,-1,-1,0.07291666666666667,0.44164759725400454,0.0004729250413809411,0.0,0.0013199161557737465,0.02090967881008838,0.05063291139240506,0.06751824817518248,0.07999290528556224,0.2,0.4736842105263157,0.010101010101010102,0.0,0,13,7,11,16,8,8,24,10,5,4
291b7ba2,38a947a1,-1,-1,30903e74,7e0ccccf,468a0854,0b153874,a73ee510,3b08e48b,a60de4e5,-1,605bbc24,1adce6ef,8eb553b7,-1,8efede7f,e3296f92,-1,-1,-1,ad3062eb,dbb486d7,-1,-1,-1,0.10416666666666667,0.0003813882532418001,0.0,0.022727272727272728,2.955036169642716e-06,0.0004311273981461522,0.006027727546714889,0.0036496350364963502,0.000354735721887194,0.4,0.05263157894736842,0.12121212121212122,0.0012970168612191958,0,14,21,3,28,1,1,35,1,4,5
5a9ed9b0,09e68b86,42c664e6,5be5ba63,25c83c98,-1,16401b7d,062b5529,a73ee510,3b08e48b,20ec800a,4f94cb71,18a5e4b8,b28479f6,52baadf5,4ee63296,776ce399,5aed7436,d13f30e6,a458ea53,78f731c4,-1,32c7478e,0333a312,e8b83407,520d881a,0.0,0.0002542588354945334,0.00023646252069047056,0.0,0.007776670186443082,0.0,0.0006027727546714888,0.0036496350364963502,0.0008868393047179851,0.0,0.02631578947368421,0.0,0.0,0,39,43,25,35,35,21,27,18,40,22
05db9164,d4be07ad,44530b16,e230cfa2,25c83c98,7e0ccccf,cdd4e327,0b153874,7cc72ec2,4be9ce03,48e01e3c,50777248,613b2c28,07d13a8f,1936a526,7487c2c1,07c540c4,cbae5931,04de9d96,5840adea,102d94f8,ad3062eb,3a171ecb,b2f178a3,001f3601,938732a0,0.010416666666666666,0.008390541571319602,0.000827618822416647,0.022727272727272728,0.025562047879466043,0.0,0.0006027727546714888,0.0036496350364963502,0.000354735721887194,0.2,0.02631578947368421,0.0,0.0025940337224383916,0,42,33,30,48,41,44,32,19,42,36
8cf07265,3f0d3f28,8216348d,e5320740,4cf72387,fbad5c96,ad3508b1,0b153874,a73ee510,28bd0575,ad757a5a,3901fbe6,93b18cb5,1adce6ef,14108df6,16b7b16b,e5ba7672,88416823,-1,-1,d0aa7035,-1,423fab69,e5fca70a,-1,-1,0.0,0.022247648105771674,0.0009458500827618822,0.1477272727272727,0.0030870277852200908,0.008838111661996119,0.01687763713080169,0.05474452554744525,0.03600567577155019,0.0,0.2631578947368421,0.0,0.016861219195849545,0,10,15,32,8,14,2,14,2,44,39
68fd1e64,8cc9c66e,85f36f0f,76c5ba61,25c83c98,-1,5ad1a84d,0b153874,a73ee510,3b08e48b,8b6b3f43,887032e3,083755dd,b28479f6,3bfd73d1,27c80b53,776ce399,a6f5dd38,21ddcdc9,a458ea53,bb8cabbf,-1,bcdee96c,7beffc84,2bf691b1,259938d2,0.0,0.0003813882532418001,0.00035469378103570584,0.022727272727272728,0.0029510961214165255,0.0,0.0006027727546714888,0.0036496350364963502,0.001064207165661582,0.0,0.02631578947368421,0.0,0.0025940337224383916,0,26,29,0,33,23,21,27,18,19,34
05db9164,38a947a1,3f0d2723,d6f14369,25c83c98,7e0ccccf,7acae6b9,0b153874,a73ee510,e8438e24,2872a4bd,21df64db,f8320f48,b28479f6,754556a3,0ac42532,1e88c74f,126d5ace,-1,-1,9477880c,-1,32c7478e,10edf4e4,-1,-1,0.010416666666666666,0.0003813882532418001,0.001300543863797588,0.03409090909090909,0.0008205150431041275,0.008406984263849967,0.0018083182640144665,0.01094890510948905,0.001064207165661582,0.2,0.05263157894736842,0.0,0.0038910505836575876,0,32,31,28,39,31,26,29,39,35,38
05db9164,38a947a1,8e862e24,dc64cb2c,43b19349,fbad5c96,b3b280b5,5b392875,a73ee510,3b08e48b,3e38ef40,96e389b3,5e419718,b28479f6,a8830f2c,fe49babc,e5ba7672,6de7a3ee,-1,-1,f2e48b5a,ad3062eb,85d5a995,9c2bbbda,-1,-1,0.09375,0.0003813882532418001,0.006029794277607,0.46590909090909094,1.8715229074403868e-05,0.005389092476826902,0.007836045810729355,0.08576642335766423,0.017382050372472504,0.4,0.07894736842105263,0.0,0.031128404669260697,0,13,10,16,4,7,16,23,9,12,18
5bfa8ab5,38d50e09,92eb3174,88e439d9,4cf72387,7e0ccccf,4f9b38fe,64523cfa,a73ee510,416b5b64,4ca0f167,604f499b,eb4b1bfd,b28479f6,06373944,8e662061,e5ba7672,fffe2a63,21ddcdc9,b1252a9d,872c22d6,-1,32c7478e,df487a73,001f3601,c27f155b,0.0,0.004068141367912535,0.000827618822416647,0.07954545454545454,0.011459630265874453,0.0,0.0,0.018248175182481754,0.0,0.0,0.0,0.0,0.009079118028534372,0,25,12,41,20,4,49,16,23,21,40
8cf07265,ae46a29d,c81688bb,f922efad,25c83c98,13718bbd,ad9fa255,0b153874,a73ee510,5282c137,e5d8af57,66a76a26,f06c53ac,1adce6ef,8ff4b403,01adbab4,1e88c74f,26b3c7a7,-1,-1,21c9516a,-1,32c7478e,b34f3128,-1,-1,0.041666666666666664,0.0001271294177472667,0.0,0.011363636363636364,2.955036169642716e-06,0.0002155636990730761,0.0024110910186859553,0.0018248175182481751,0.000177367860943597,0.4,0.05263157894736842,0.0,0.0012970168612191958,0,1,1,6,1,1,1,1,1,10,13
05db9164,e9ac66c5,2e60d568,64e16465,0942e0a7,7e0ccccf,ec258437,37e4aa92,a73ee510,fbbf2c95,0d989d65,1e97d4b6,f948ca5d,07d13a8f,fc45bcbf,0834adb7,3486227d,e85b49c7,-1,-1,5954ee5c,-1,32c7478e,298010d7,-1,-1,0.010416666666666666,0.012077294685990336,0.0004729250413809411,0.045454545454545456,0.0013652267103749349,0.002371200689803837,0.007233273056057866,0.020072992700729927,0.022880454061724013,0.2,0.13157894736842105,0.010101010101010102,0.005188067444876783,0,30,30,16,22,32,12,39,20,18,17
da4eff0f,09e68b86,aa8c1539,85dd697c,4cf72387,7e0ccccf,175f4be6,5b392875,a73ee510,17a0cc50,1f36d28a,d8c29807,0a8a3875,8ceecbc8,d2f03b75,c64d548f,d4bb7bd8,63cdbb21,cf99e5de,5840adea,5f957280,-1,3a171ecb,1793a828,e8b83407,b7d9c3bc,0.010416666666666666,0.0003813882532418001,0.00023646252069047056,0.03409090909090909,0.0016173897968511134,0.05928001724509593,0.0012055455093429777,0.01094890510948905,0.04398722951401206,0.2,0.05263157894736842,0.0,0.0038910505836575876,0,17,18,42,0,22,27,45,41,16,0
05db9164,89ddfee8,d195dd70,496b4b7b,25c83c98,-1,ad3508b1,5b392875,a73ee510,5ffc7b25,ad757a5a,362b89ef,93b18cb5,07d13a8f,4df3da6b,275d87ab,e5ba7672,5bb2ec8e,21ddcdc9,a458ea53,fd66195d,-1,c7dc6720,cdd953ce,f0f449dd,c41b12cd,0.14583333333333331,0.0005085176709890668,0.0018917001655237645,0.011363636363636364,1.7730217017856296e-05,0.0008622547962923044,0.008438818565400843,0.0018248175182481751,0.000177367860943597,0.4,0.05263157894736842,0.0,0.0012970168612191958,0,14,28,1,21,15,10,25,28,1,1
